[zipcode=]광주 광산구 고룡동  16095 ]
[zipcode=]광주 광산구 광산동  16096 ]
[zipcode=]광주 광산구 남산동  16097 ]
[zipcode=]광주 광산구 내산동  16098 ]
[zipcode=]광주 광산구 대산동  16099 ]
[zipcode=]광주 광산구 덕림동  16100 ]
[zipcode=]광주 광산구 도덕동  16101 ]
[zipcode=]광주 광산구 도산동 사서함 305 16102 ]
[zipcode=]광주 광산구 도산동 57∼799 16103 ]
[zipcode=]광주 광산구 도산동 800∼1039 16104 ]
[zipcode=]광주 광산구 도산동 1040∼1061 16105 ]
[zipcode=]광주 광산구 도산동  16106 ]
[zipcode=]광주 광산구 도천동 도천1단지중흥파크맨션 (101∼106동) 16107 ]
[zipcode=]광주 광산구 도천동 도천2단지중흥파크맨션 (107∼112동) 16108 ]
[zipcode=]광주 광산구 도천동  16109 ]
[zipcode=]광주 광산구 도호동  16110 ]
[zipcode=]광주 광산구 동림동  16111 ]
[zipcode=]광주 광산구 동산동  16112 ]
[zipcode=]광주 광산구 동호동  16113 ]
[zipcode=]광주 광산구 두정동  16114 ]
[zipcode=]광주 광산구 등임동  16115 ]
[zipcode=]광주 광산구 명도동  16116 ]
[zipcode=]광주 광산구 명화동  16117 ]
[zipcode=]광주 광산구 박호동  16118 ]
[zipcode=]광주 광산구 복룡동  16119 ]
[zipcode=]광주 광산구 본덕동  16120 ]
[zipcode=]광주 광산구 북산동  16121 ]
[zipcode=]광주 광산구 비아동 호반아파트  16122 ]
[zipcode=]광주 광산구 비아동  16123 ]
[zipcode=]광주 광산구 사호동  16124 ]
[zipcode=]광주 광산구 산막동  16125 ]
[zipcode=]광주 광산구 산수동  16126 ]
[zipcode=]광주 광산구 산월동 광주보훈병원  16127 ]
[zipcode=]광주 광산구 산월동 부영아파트 (101∼116동) 16128 ]
[zipcode=]광주 광산구 산월동 부영아파트 (201∼206동) 16129 ]
[zipcode=]광주 광산구 산월동 부영아파트 (301∼307동) 16130 ]
[zipcode=]광주 광산구 산월동 부영e그린아파트 (1101∼1105동) 16131 ]
[zipcode=]광주 광산구 산월동 부영사랑으로아파트 (1201∼1308동) 16132 ]
